freq,Pn,Ps
0.5348,6,7
0.5356,9,5
0.5363,3,8
0.5371,5,12
0.5378,3,8
0.5386,3,10
0.5393,4,4
0.5401,3,10
0.5408,9,8
0.5416,7,7
0.5424,5,8
0.5431,14,5
0.5439,6,11
0.5446,10,10
0.5454,6,8
0.5461,4,6
0.5469,7,6
0.5477,5,7
0.5484,7,10
0.5492,8,8
0.5499,6,12
0.5507,8,10
0.5514,7,7
0.5522,6,11
0.553,6,7
0.5537,14,6
0.5545,7,8
0.5552,6,8
0.556,7,6
0.5567,5,8
0.5575,2,8
0.5582,10,13
0.559,6,8
0.5598,9,10
0.5605,4,9
0.5613,1,9
0.562,7,2
0.5628,9,8
0.5635,3,6
0.5643,4,9
0.5651,3,9
0.5658,4,4
0.5666,5,5
0.5673,3,6
0.5681,5,6
0.5688,6,7
0.5696,11,9
0.5703,9,11
0.5711,1,11
0.5719,5,4
0.5726,3,3
0.5734,3,10
0.5741,8,9
0.5749,8,7
0.5756,5,13
0.5764,2,7
0.5772,5,6
0.5779,1,6
0.5787,9,10
0.5794,7,4
0.5802,5,9
0.5809,7,8
0.5817,5,9
0.5825,5,9
0.5832,5,6
0.584,4,10
0.5847,4,9
0.5855,2,8
0.5862,5,10
0.587,7,4
0.5877,3,8
0.5885,3,8
0.5893,6,6
0.59,3,5
0.5908,3,8
0.5915,7,7
0.5923,5,8
0.593,6,12
0.5938,1,5
0.5946,5,4
0.5953,5,5
0.5961,2,4
0.5968,4,8
0.5976,3,10
0.5983,7,8
0.5991,7,11
0.5998,6,7
0.6006,8,5
0.6014,1,8
0.6021,7,8
0.6029,7,10
0.6036,4,7
0.6044,4,9
0.6051,2,3
0.6059,5,10
0.6067,2,9
0.6074,5,8
0.6082,3,10
0.6089,4,6
0.6097,4,3
0.6104,4,4
0.6112,5,10
0.612,10,8
0.6127,4,5
0.6135,7,9
0.6142,5,12
0.615,6,3
0.6157,2,5
0.6165,3,8
0.6172,2,7
0.618,7,4
0.6188,6,9
0.6195,5,9
0.6203,8,10
0.621,7,11
0.6218,6,16
0.6225,2,6
0.6233,11,5
0.6241,5,9
0.6248,3,5
0.6256,6,5
0.6263,5,7
0.6271,3,11
0.6278,8,8
0.6286,3,5
0.6293,7,5
0.6301,5,7
0.6309,3,3
0.6316,5,5
0.6324,4,5
0.6331,1,2
0.6339,6,10
0.6346,8,10
0.6354,5,4
0.6362,3,6
0.6369,7,5
0.6377,5,6
0.6384,4,5
0.6392,9,6
0.6399,6,10
0.6407,8,5
0.6415,3,6
0.6422,9,6
0.643,6,7
0.6437,7,7
0.6445,6,9
0.6452,8,4
